Haul,ADFG_Station,Year,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
58,100,2017,365,135,3,0.012,45,
59,101,2017,557,145,3,0,55,
60,102,2017,457,137,2,0,41.5,
1,185,2018,340,124,62.43,0,86.6,
2,186,2018,343,129,162.02,0,0,
3,187,2018,332,134,70.08,3.32,58,
4,161,2018,430,134,48.72,0,52.38,
5,134,2018,469,156,60.43,0,56.2,
6,107,2018,390,136,45.75,0,57.57,
7,82,2018,432,132,50.8,1.39,53.19,
8,81,2018,523,148,66.08,0,55.95,
9,80,2018,464,148,68.86,0,60.87,
10,79,2018,528,142,151.75,0,64.99,
11,78,2018,427,160,28.05,0,48.85,
12,103,2018,376,159,24.48,0,56.8,
13,104,2018,493,152,105.38,1.28,56.66,
14,105,2018,497,164,96.93,0,62.32,
15,106,2018,1132,167,57.04,3.66,59.5,
16,133,2018,483,169,75.91,0.876,51.57,
17,160,2018,641,160,223.76,0,56.56,
18,159,2018,463,140,176.84,1.87,66.12,
19,132,2018,745,144,129.82,3.93,62.84,
20,131,2018,576,144,98.48,1.65,75.21,
21,130,2018,364,144,11.02,3.35,62.99,
22,129,2018,583,154,17.22,0.001,70.06,
23,102,2018,408,154,4.23,0,71.82,
24,101,2018,449,152,5.94,0,61.8,
25,128,2018,494,153,0,8.79,70.32,
26,127,2018,503,170,6.84,31.76,69.61,
27,100,2018,568,159,4.12,0.88,69.86,
28,99,2018,475,148,9.3,1.76,65.83,
29,126,2018,523,152,0,0,64.51,
30,153,2018,339,145,0,0.004,73.25,
31,154,2018,265,145,0,0.048,0,
32,155,2018,278,148,9.05,28.07,0,
33,156,2018,210,148,0,1.07,0,
34,157,2018,337,146,10.56,0,66.53,
35,158,2018,415,156,49.94,1.045,58.43,
36,183,2018,392,151,25.88,8.99,56.4,
37,184,2018,636,158,25.08,3.39,72.77,
38,182,2018,488,154,3.41,0.268,53.59,
39,181,2018,278,141,0,1.039,0,
40,203,2018,736,155,7.5,0.701,61.74,
41,202,2018,729,161,0,0,65.21,
42,180,2018,426,156,1.79,0,55.7,
43,179,2018,695,157,0,0,66.31,
44,152,2018,271,149,0,0,0,
45,125,2018,327,164,1.56,0,61.33,
46,98,2018,455,157,0,0.028,48.74,
47,97,2018,528,161,0,0,59.11,
48,124,2018,468,165,0,0,56.81,
49,123,2018,415,152,0,1.962,63.85,
50,96,2018,407,160,0,0.487,55.08,
51,95,2018,486,151,0,5.241,54.82,
52,122,2018,464,122,0,0.094,47.94,
53,94,2018,498,146,0,1.064,55.11,
54,121,2018,459,159,0,0.069,60.44,
55,148,2018,254,164,0,0,0,
56,149,2018,371,149,0,0.062,61.97,
57,175,2018,499,156,0,0,55.91,
58,176,2018,391,151,0,0,51.74,
59,150,2018,426,157,0,0,51.87,
60,151,2018,287,143,0,0,0,
1,185,2019,308,141,59.74,3.05,59.884,"Subsample is sum of species weights, subsample weights not collected"
2,186,2019,335,144,62.66,5.619,61.65,
3,160,2019,398,146,35.3,4.551,49.69,
4,133,2019,278,167,13.72,8.809,53.43,
5,132,2019,675,152,31.24,22.102,44.52,
6,159,2019,295,143,22.48,1.731,52.67,
7,187,2019,435,156,168.31,3.03,51.48,
8,161,2019,329,140,45.75,0,44.62,
9,134,2019,435,162,57.41,0,43.73,
10,131,2019,472,148,31.91,0.83,44.94,
11,158,2019,425,143,8.211,0.958,58.1,
12,184,2019,416,165,44.6,9.44,43.47,
13,183,2019,435,154,112.14,8.347,45.5,
14,182,2019,314,160,0.74,0,47.53,
15,181,2019,250,155,0,0,45.4,
16,203,2019,715,154,13.29,2.119,43.07,
17,202,2019,408,163,0,0,51.88,
18,180,2019,350,164,0,0,49.74,
19,179,2019,739,161,4.45,0,52.3,
20,176,2019,310,139,0,0,52.98,
21,175,2019,397,150,1.99,0,62.23,
22,148,2019,291,155,5.74,0,58.6872,
23,149,2019,266,163,0,0,54.52,
24,150,2019,399,147,0,0.509,0,
25,123,2019,268,146,0,0.582,51.47,
26,124,2019,378,143,15.85,0,48.14,
27,151,2019,302,143,0,0.174,54.2,
28,152,2019,312,170,5.24,0,60.33,
29,125,2019,280,158,0,0.089,51.73,
30,126,2019,318,132,0,0.189,61.79,
31,127,2019,424,150,0,1.096,59.43,
32,100,2019,447,143,0,0,55.78,
33,101,2019,412,146,1.9,0,67.88,
34,128,2019,349,153,0,2.57,55.18,
35,129,2019,422,168,0.8,0,60.97,
36,102,2019,487,161,9.15,0,63.43,
37,103,2019,433,154,22.72,0,58.38,
38,78,2019,235,155,10.3,0,0,
39,79,2019,393,172,5.58,0.148,42.3,
40,80,2019,805,167,163.56,3.606,59.53,
41,81,2019,506,160,40.99,3.201,70.88,
42,82,2019,561,162,41.63,0,63.66,
43,107,2019,436,162,38.65,0,53.63,
44,106,2019,853,183,81.46,3.631,58.35,
45,105,2019,693,164,131.25,119.927,59.16,
46,104,2019,545,160,102.66,2.372,53.73,
47,130,2019,422,176,0,0,69.46,
48,157,2019,407,180,5.31,0,58.34,
49,156,2019,213,167,0,0,0,
50,155,2019,277,149,0,0,75.36,
51,154,2019,272,157,0,0.492,53.08,
52,153,2019,320,152,0,0,73.22,
1,203,2020,1070,185,44.09,0,67.11,
2,202,2020,586,167,14.01,0,49.3,
3,180,2020,582,201.5,5.87,0.004,46.24,
4,179,2020,960,163,11.5,0,45.74,
5,153,2020,439.75,160,4.93,0,46.82,
6,152,2020,440,190,4.3,0,48.82,
7,151,2020,462.5,151,2.2,0.102,48.6,
8,150,2020,574,169,0,0,44.5,
9,176,2020,481.5,170,16.42,0.004,46.21,
10,175,2020,363,151,0,0,49.82,
11,149,2020,246,138.4,0,0,39.62,
12,148,2020,1007,225.6,18.3,0,88.06,Samples were full of mud so were rinsed before sorting.
13,121,2020,625,202.5,0,0,55.73,Samples were full of mud so were rinsed before sorting.
14,94,2020,353,145,47.9,0,44.43,
15,95,2020,476.5,244,26,0,48.27,
16,122,2020,451,169,12.06,0.676,54.72,
17,123,2020,370,155,21.68,0.08,50.81,
18,96,2020,520,168,0,0.322,58.62,
19,97,2020,535,169,0,2.084,52.45,
20,124,2020,358,171,3.52,0.814,42.79,
21,125,2020,430.5,161,19.17,3.24,42.19,
22,98,2020,518.44,209,6.06,0.706,60.22,
23,126,2020,477.5,147,25.2,10.22,44.55,
24,99,2020,389.51,143.5,0,0.342,45.61,
25,100,2020,612,153.5,6.84,0,56.75,
26,101,2020,440,148,2.39,0,58.23,
27,102,2020,262,148,4.98,0,49.53,
28,129,2020,613,157,3.29,0.734,54.66,
29,128,2020,386.5,150,12.39,0.148,52.8,
30,127,2020,568,189.5,5.95,2.248,57.52,
31,154,2020,313,146,11.08,0,45.76,
32,155,2020,350,165,3.5,0.602,43.75,
33,181,2020,208.5,148.5,0,0,0,whole haul
34,182,2020,325,174,6.71,0.324,48.224,
35,183,2020,824,169,126,3.48,54.23,
36,184,2020,878.5,160.5,25.62,2.78,55.5,
37,185,2020,660,175,42.94,11.88,49.79,
38,186,2020,521,167,72.25,0.814,46.87,
39,187,2020,601.5,172,85.28,0,39.92,
40,161,2020,484.5,168,61.244,0,48.046,
41,134,2020,0,0,0,1.442,0,cable snapped- no catch worked up
42,160,2020,745.5,163,75.95,0,63.85,
43,159,2020,490.5,162,56.65,9.436,55.234,
44,158,2020,667.5,167.5,15.7,0.4,64.71,
45,157,2020,367,158.5,7.52,0,47.48,
46,156,2020,156,124,0,0.522,0,whole haul
47,130,2020,632.88,157,4.43,0.524,62.22,
48,131,2020,858.56,165,40.71,59.14,48.95,
49,132,2020,1159.5,173,94.33,4.09,52.11,
50,133,2020,716,164.5,59.88,1.446,55.03,
51,106,2020,955,168,81.09,0.054,49.41,
52,107,2020,740,264,9.9,0.554,52.1,
53,82,2020,953.5,163.5,106.432,0,55.67,
54,81,2020,497.5,167,30.7,0,54.01,
55,80,2020,677,187,28.288,0,59.852,
56,79,2020,576,166.5,54.93,11.06,48.27,
57,78,2020,569.5,171,20.69,0.644,50.46,
58,103,2020,546,153.5,15.44,0.448,52.58,
59,104,2020,486,157,25.64,1.888,57.67,
60,105,2020,757,157.5,98.81,1.544,53.86,
1,184,2021,630.6,113,34.738,27.49,61.88,
2,185,2021,507,176,44.84,75.28,48.95,
3,159,2021,421,174,40.59,3.406,50.29,
4,160,2021,546,170,57.96,0,60.35,
5,186,2021,476,163,34.52,1.982,54.71,
6,187,2021,290,172,51.73,0,55.2,
7,161,2021,471,165,81.5,0,62.5,
8,134,2021,552,172,68.38,0,60.27,
9,133,2021,429,157,88.26,0,58.2,
10,158,2021,250,152,3.52,3.828,0,
11,157,2021,349,175,3.76,4.114,65.5,
12,182,2021,218,154,0,0,0,
13,181,2021,204,153,0,0,0,
14,155,2021,246,165,2.04,1.464,0,
15,128,2021,303,152,1.61,0.296,50,
16,129,2021,403.5,160.5,11.84,6.634,65.57,
17,156,2021,205,168,5.34,0,0,
18,154,2021,274,149,21.24,1.156,53.87,
19,153,2021,275.5,143,4.05,0,50.43,
20,152,2021,157,144,0,0,0,"short tow, hydraulics started slipping"
21,151,2021,352.5,146,0,0.67,51.71,
22,150,2021,370,156,0,0.744,49.86,
23,176,2021,302,128.5,0,0,56.13,
24,123,2021,191,130,0,0,0,
25,124,2021,185,167,0,0,0,
26,97,2021,145,107,0,1.572,0,
27,96,2021,223,140,0,7.87,56.97,
28,98,2021,322.5,134,0.76,0,52.6,
29,125,2021,191,130,0,0.716,0,
30,126,2021,321,156,0,0,54.28,
31,127,2021,270,140,0,13.18,59.11,
32,132,2021,313.5,149,2.692,1.264,55.31,
33,131,2021,253.5,162,1.362,0.442,0,
34,130,2021,190,136,0,0,0,
35,203,2021,466,181,0,0,55.87,
36,202,2021,420,180,0,0,58.99,
37,180,2021,373,174,3.15,0.332,50.83,
38,179,2021,303,157,0,0,56.24,
39,183,2021,529.5,157,0,2.012,53.04,
